RESTAU, 7
RED CROSS, 9
GATEWAY, 6
SAFEWAY, 2
SUBWAY, 7
SUPERS, 2
DEPOSIT, 10
ICBC, 3
FORTIS, 1
BMO, 10
WALMART, 2
COSTCO, 2
MCDONALDS, 7
CABLE, 1
CANADIAN TIRE, 2
WORLD VISION, 9
TIM HORTONS, 7
7-ELEVEN, 2
CHQ, 5
ROGERS, 8
FEE, 5



